,Feature
YAL038W,41
YEL035C,38
YEL034W,36
YGR287C,35
YLR044C,34
YOL126C,32
YCR012W,28
YBR118W,27
YOL109W,27
YJL089W,26
YBR072W,25
YER088C,25
YOL052C-A,25
YCR048W,24
YDR155C,23
YPL135W,23
YOR302W,23
YKL096W-A,23
YFL014W,22
YCL048W-A,22
YKL152C,21
YBR196C,21
YGR254W,21
YKR039W,20
YBL003C,20
YDR225W,20
YLR249W,20
YHR087W,19
YDR134C,19
YPR036W-A,19
YNL036W,18
YHR139C,18
YER098W,18
YDR224C,18
YDL218W,18
YPL004C,18
YEL008W,17
YOR136W,17
YBR068C,17
YBR010W,17
YDR233C,17
YEL017C-A,16
YDL133C-A,16
YBR117C,16
YER091C,16
YOR183W,16
YBR101C,15
YDL222C,15
YGR142W,15
YMR251W-A,15
YPR192W,15
YKL216W,15
YMR136W,15
YGL123W,15
YAR035W,15
YCR051W,14
YPR065W,14
YDR524C-B,14
YDR070C,14
YJL159W,14
YOR161C,14
YPL198W,14
YER053C-A,13
YDR050C,13
YKL060C,13
YLR327C,13
YOL086C,13
YGL103W,13
YGL062W,13
YGL055W,13
YBR249C,13
YLL024C,13
YOR374W,13
YOR052C,13
YPL223C,13
YDL051W,13
YDL052C,13
YLR110C,13
YGR086C,13
YOR063W,12
YPR035W,12
YDL182W,12
YBR230C,12
YJL034W,12
YDL192W,12
YMR250W,12
YGL106W,12
YBR009C,12
YIL134C-A,12
YLR167W,12
YLL026W,12
YGR088W,12
YDL204W,12
YLR438C-A,12
YBR025C,12
YLR056W,12
YOR187W,12
YDR077W,12
YGR130C,11
YPL020C,11
YPR080W,11
YOR096W,11
YMR201C,11
YPL091W,11
YOR100C,11
YBR016W,11
YPL217C,11
YIL047C,11
YPL250C,11
YEL071W,11
YDR276C,11
YML028W,11
YIL148W,11
YPL049C,11
YGR060W,11
YMR122W-A,11
YEL054C,11
YNL052W,11
YDR055W,11
YNL118C,11
YNL134C,11
YOR335C,11
YLR075W,11
YMR120C,11
YBL064C,11
YPL189C-A,11
YKL050C,11
YJL166W,10
YGR161C,10
YNL154C,10
YMR186W,10
YOR120W,10
YKL054C,10
YMR122C,10
YDR516C,10
YDR525W,10
YKR041W,10
YEL044W,10
YPR145W,10
YAL005C,10
YOR298C-A,10
YNL336W,10
YLR297W,10
YDR010C,10
YCR005C,10
YCR024C-A,10
YNL157W,10
YOR054C,10
YDL075W,10
YMR195W,10
YHR033W,10
YFR053C,10
YOR351C,10
YDL128W,10
YLL039C,10
YHR144C,10
YOR173W,10
YMR297W,10
YPL230W,10
YOR167C,10
YBL039W-B,10
YHR173C,10
YBR119W,10
YKR101W,10
YJR091C,10
YGR209C,10
YHR174W,10
YDL177C,10
YLR185W,10
YMR121C,10
YPL240C,10
YDR119W-A,10
YNR009W,9
YLR025W,9
YLL021W,9
YFL031W,9
YNR050C,9
YLR293C,9
YOL019W-A,9
YCR037C,9
YML063W,9
YNL242W,9
YML065W,9
YBR085C-A,9
YNL031C,9
YGR282C,9
YJR109C,9
YJL027C,9
YPL131W,9
YML127W,9
YNL067W,9
YGR197C,9
YLR164W,9
YGR192C,9
YOR348C,9
YHR179W,9
YKL142W,9
YDL184C,9
YBL002W,9
YHR151C,9
YLR315W,9
YDL153C,9
YIL136W,9
YGR055W,9
YIL072W,9
YNL194C,9
YNL110C,9
YHR005C-A,9
YLR325C,9
YKL206C,9
YKL205W,9
YJL164C,9
YOR031W,9
YPR151C,9
YGR085C,9
YEL046C,9
YNL098C,9
YMR242W-A,9
YGR202C,9
YJL026W,9
YDR025W,9
YOR157C,9
YKL148C,9
YMR069W,8
YEL026W,8
YGL200C,8
YJL045W,8
YHR007C,8
YNL308C,8
YMR011W,8
YMR015C,8
YBR132C,8
YFL030W,8
YEL027W,8
YFL015C,8
YEL024W,8
YLR270W,8
YJR062C,8
YGR189C,8
YNL007C,8
YJR055W,8
YOL059W,8
YMR072W,8
YLL018C-A,8
YGL045W,8
YDR385W,8
YER141W,8
YKL056C,8
YBL082C,8
YBL075C,8
YDL130W,8
YBL015W,8
YOR328W,8
YMR196W,8
YMR112C,8
YLR414C,8
YLR058C,8
YGR243W,8
YER136W,8
YLR097C,8
YKL146W,8
YMR170C,8
YLR354C,8
YMR168C,8
YLR111W,8
YDL055C,8
YHR126C,8
YKL117W,8
YOR230W,8
YAL035W,8
YML058W,8
YHR096C,8
YGR285C,8
YNL143C,8
YHR115C,8
YKL010C,8
YPR112C,8
YNL240C,8
YNL104C,8
YPL001W,8
YML097C,8
YOL052C,8
YOR368W,8
YGR220C,8
YLR420W,8
YML096W,8
YPL260W,8
YPL017C,8
YLR214W,8
YGR236C,8
YOL039W,8
YCR047C,8
YOL040C,8
YJL171C,8
YGL097W,8
YNL244C,8
YER070W,7
YDL181W,7
YNL239W,7
YLR150W,7
YER117W,7
YBR271W,7
YER096W,7
YHL038C,7
YNL247W,7
YPL160W,7
YOR193W,7
YBR264C,7
YLR137W,7
YLR218C,7
YHL039W,7
YER020W,7
YDL022W,7
YHR020W,7
YLR174W,7
YDR022C,7
YMR006C,7
YPL203W,7
YCL030C,7
YER165W,7
YML030W,7
YLR063W,7
YCL034W,7
YCL040W,7
YDR047W,7
YDL126C,7
YDL124W,7
YDL229W,7
YPL186C,7
YDR169C,7
YLR177W,7
YML007C-A,7
YDR043C,7
YLR219W,7
YBR297W,7
YDR040C,7
YGR222W,7
