Spo11	Spectra	Rate per site	Rate * 10^6	Control Rate * 10^6	Fold Change	P-Value	Feature
SPO11	C→T	0.00237	2370	825.7839721	2.87	1.41×10-16	TSS
SPO11	G→A	0.00143	1430	856.2874251	1.67	1.45×10-4	TSS
SPO11	C→T & G→A	0.00189	1890	840	2.25	7.08×10-29	TSS
spo11∆	C→T	0.00015	150	51.54639175	2.91	1.89×10-4	TSS
spo11∆	G→A	0.000166	166	49.55223881	3.35	5.70×10-7	TSS
spo11∆	C→T & G→A	0.000161	161	50.3125	3.2	3.34×10-17	TSS
SPO11	C→T	0.00452	4520	749.5854063	6.03	7.93×10-8	tRNA
SPO11	G→A	0.0014	1400	1129.032258	1.24	0.47	tRNA
SPO11	C→T & G→A	0.00307	3070	941.7177914	3.26	2.82×10-9	tRNA
spo11∆	C→T	0.0019	1900	78.25370675	24.28	3.99×10-4	tRNA
spo11∆	G→A	0.000246	246	67.76859504	3.63	0.34	tRNA
spo11∆	C→T & G→A	0.000853	853	70.90606816	12.03	7.59×10-9	tRNA
