Feature	Spectra	P-Value	Rate per site	Control Rate	Rate per site x10^6	Control Rate x10^6	Fold Change	Spo11
tRNA	C→T	0.00039909	0.00039312	1.619189342403628e-05	393.1202816	16.19189342	24.27883332443828	spo11
tRNA	G→A	0.3438841628557484	5.102040816326531e-05	1.4054232804232804e-05	51.02040816	14.0542328	3.630252100840337	spo11
tRNA	C→T & G→A	7.588338155137257e-09	0.000176595	1.4681294540248993e-05	176.5946728	14.68129454	12.028549136286616	spo11
tRNA	C→T	7.927486103924208e-08	0.00040788	6.769317733271115e-05	407.8802618	67.69317733	6.0254264590489175	SPO11
tRNA	G→A	0.3699603801520913	0.000126658	9.459384906095848e-05	126.6578091	94.59384906	1.3389645352025867	SPO11
tRNA	C→T & G→A	6.153934334382146e-10	0.000277635	8.106933270778812e-05	277.6348192	81.06933271	3.424658992	SPO11
TSS	C→T	0.000189076	3.115894828311539e-05	1.0724736625508337e-05	31.15894828	10.72473663	2.905334589663036	spo11
TSS	G→A	9.05543695690178e-07	3.443032804651722e-05	1.0508860444635749e-05	34.43032805	10.50886044	3.2763141377609784	spo11
TSS	C→T & G→A	7.078882768442899e-17	3.338311458297769e-05	1.0566805950805665e-05	33.38311458	10.56680595	3.159243648307217	spo11
TSS	C→T	6.751923527001967e-16	0.000210722	7.480002093572368e-05	210.7219031	74.80002094	2.817136952996657	SPO11
TSS	G→A	0.000115692	0.000128807	7.704886829114391e-05	128.8069543	77.04886829	1.6717566025343036	SPO11
TSS	C→T & G→A	2.940983953365773e-28	0.00016892	7.601247956799022e-05	168.9203306	76.01247957	2.222271021457716	SPO11
