chr	max_distance	density
I	0	0.0
II	0	0.0
III	0	0.0
IV	0	0.0
V	0	0.0
VI	0	0.0
VII	0	0.0
VIII	0	0.0
IX	0	0.0
X	0	0.0
XI	0	0.0
XII	0	0.0
XIII	0	0.0
XIV	0	0.0
XV	0	0.0
XVI	0	0.0
I	5	0.0013769557549800624
II	5	0.0005361640169998426
III	5	0.0003569829305793457
IV	5	0.00048109153598753995
V	5	0.000914819379589286
VI	5	0.0010142100451212424
VII	5	0.0006269822355033274
VIII	5	0.00041056229260827914
IX	5	0.000875222783981377
X	5	0.0006154869386698778
XI	5	0.0006238602553028122
XII	5	0.0005407275428802507
XIII	5	0.0005917153362446737
XIV	5	0.0005699109944373117
XV	5	0.0007394911164849705
XVI	5	0.0005727449354791755
I	10	0.004439270604383671
II	10	0.0018482901778687235
III	10	0.0012400459693808852
IV	10	0.0019080468923902024
V	10	0.0031020535698786608
VI	10	0.0030093166667283584
VII	10	0.002018442810787028
VIII	10	0.0014734032059405342
IX	10	0.002705234059578802
X	10	0.0020113952244113654
XI	10	0.002444452442652846
XII	10	0.0019801943465683276
XIII	10	0.0020585635920907022
XIV	10	0.0018793038161087192
XV	10	0.0024704684634987368
XVI	10	0.0019407931515316443
I	15	0.007731802031118331
II	15	0.0036424720604438846
III	15	0.002539589093858328
IV	15	0.0038781069407082423
V	15	0.00577360390230354
VI	15	0.005518931303926177
VII	15	0.003989220305424679
VIII	15	0.003236510540431499
IX	15	0.005819663186993053
X	15	0.004469320188642053
XI	15	0.004555979460600826
XII	15	0.0041032223837087975
XIII	15	0.003961355687985366
XIV	15	0.0035316632093766297
XV	15	0.00456065339125861
XVI	15	0.004025036231654758
I	20	0.011145957310027887
II	20	0.006303616401699985
III	20	0.004020755112841052
IV	20	0.006369730268882517
V	20	0.008540628743034701
VI	20	0.009412905637749342
VII	20	0.0062670724329477335
VIII	20	0.005236002225212079
IX	20	0.008140708543993017
X	20	0.006756947023872579
XI	20	0.0073738482579902105
XII	20	0.00672987830384065
XIII	20	0.006119439958201315
XIV	20	0.005824056873802327
XV	20	0.007016460320849342
XVI	20	0.006048102136349157
I	25	0.015189950394843148
II	25	0.009048382653864316
III	25	0.006034264098477186
IV	25	0.009393361197911397
V	25	0.01260089919627823
VI	25	0.012896013858402952
VII	25	0.009183823125011458
VIII	25	0.007784687626079059
IX	25	0.01084139599170698
X	25	0.010073067283852117
XI	25	0.010890560514444765
XII	25	0.009657968960569554
XIII	25	0.00964809704564213
XIV	25	0.00864428756663305
XV	25	0.009821395026624428
XVI	25	0.008942415401459392
I	30	0.019950655465689044
II	30	0.012819976782622384
III	30	0.007816047322158307
IV	30	0.012850431448372742
V	30	0.017194090995885918
VI	30	0.016249569701030128
VII	30	0.012150072414614918
VIII	30	0.00991570143056965
IX	30	0.015701724075219147
X	30	0.0136453052024067
XI	30	0.0151256118629427
XII	30	0.012539685042437373
XIII	30	0.013069661229448169
XIV	30	0.011705487337648677
XV	30	0.013471200623848267
XVI	30	0.011825126098815905
I	35	0.023820900190254454
II	35	0.017168316149850465
III	35	0.010199064955236219
IV	35	0.01556595490794963
V	35	0.02281319978474838
VI	35	0.019673453977443082
VII	35	0.01520248592956533
VIII	35	0.01248926939462501
IX	35	0.019470865311170114
X	35	0.016958743602087024
XI	35	0.018700811018331893
XII	35	0.015799817655171647
XIII	35	0.01599037678312389
XIV	35	0.015036980466205043
XV	35	0.016769129407280002
XVI	35	0.015069625954311197
I	40	0.02829057675768185
II	40	0.021394911852668032
III	40	0.012450562561258585
IV	40	0.01992254230439582
V	40	0.027342163278768206
VI	40	0.02502951943470745
VII	40	0.019297119914935743
VIII	40	0.01566890550491164
IX	40	0.023678754592077984
X	40	0.02062350570096453
XI	40	0.022817388904885307
XII	40	0.019730526620397208
XIII	40	0.019609900576679058
XIV	40	0.018443696746152462
XV	40	0.02125555878312934
XVI	40	0.01900078686504948
I	45	0.03312946859064018
II	45	0.025639953565244768
III	45	0.014348208665917211
IV	45	0.024337226236395455
V	45	0.032664433141805685
VI	45	0.030929704879682857
VII	45	0.022845436045978697
VIII	45	0.01908314863954586
IX	45	0.02857545557050886
X	45	0.024534998947369834
XI	45	0.026878479220654575
XII	45	0.02446444322221676
XIII	45	0.02323050611673559
XIV	45	0.021999584360214347
XV	45	0.02598023808498375
XVI	45	0.02286760626369894
I	50	0.037738143846267454
II	50	0.03013340154257831
III	50	0.015560071772357622
IV	50	0.029205585361761904
V	50	0.03739302515319319
VI	50	0.03590081469938296
VII	50	0.026403835224668635
VIII	50	0.021914428865195158
IX	50	0.03249463499799949
X	50	0.0283164219692632
XI	50	0.03168040358959593
XII	50	0.028149366940678572
XIII	50	0.027451480965047688
XIV	50	0.025992786227278464
XV	50	0.029536576403544058
XVI	50	0.02700444905734411
I	55	0.04407561528638074
II	55	0.034084536832992285
III	55	0.018011980848178916
IV	55	0.03351908993408981
V	55	0.04163209332199212
VI	55	0.04103108886922983
VII	55	0.02995581791849231
VIII	55	0.025209591161713556
IX	55	0.038505255883315756
X	55	0.032657012863542924
XI	55	0.03745111095114694
XII	55	0.03280722923972595
XIII	55	0.03249891014039988
XIV	55	0.02930387985715251
XV	55	0.03364363858952379
XVI	55	0.03157480597342379
I	60	0.0498570919736945
II	60	0.03967121832205257
III	60	0.02035742133066953
IV	60	0.03811328563324897
V	60	0.04745430242852431
VI	60	0.04682393091526904
VII	60	0.0341540323024181
