chr	max_distance	density
I	0	1.0
II	0	1.0
III	0	1.0
IV	0	1.0
V	0	1.0
VI	0	1.0
VII	0	1.0
VIII	0	1.0
IX	0	1.0
X	0	1.0
XI	0	1.0
XII	0	1.0
XIII	0	1.0
XIV	0	1.0
XV	0	1.0
XVI	0	1.0
I	5	0.9986230442450199
II	5	0.9994638359830001
III	5	0.9996430170694206
IV	5	0.9995189084640125
V	5	0.9990851806204107
VI	5	0.9989857899548787
VII	5	0.9993730177644967
VIII	5	0.9995894377073917
IX	5	0.9991247772160187
X	5	0.9993845130613301
XI	5	0.9993761397446972
XII	5	0.9994592724571197
XIII	5	0.9994082846637553
XIV	5	0.9994300890055627
XV	5	0.999260508883515
XVI	5	0.9994272550645208
I	10	0.9955607293956164
II	10	0.9981517098221313
III	10	0.9987599540306191
IV	10	0.9980919531076098
V	10	0.9968979464301213
VI	10	0.9969906833332717
VII	10	0.997981557189213
VIII	10	0.9985265967940594
IX	10	0.9972947659404212
X	10	0.9979886047755886
XI	10	0.9975555475573471
XII	10	0.9980198056534316
XIII	10	0.9979414364079093
XIV	10	0.9981206961838913
XV	10	0.9975295315365013
XVI	10	0.9980592068484684
I	15	0.9922681979688817
II	15	0.9963575279395561
III	15	0.9974604109061417
IV	15	0.9961218930592918
V	15	0.9942263960976965
VI	15	0.9944810686960738
VII	15	0.9960107796945753
VIII	15	0.9967634894595685
IX	15	0.994180336813007
X	15	0.9955306798113579
XI	15	0.9954440205393992
XII	15	0.9958967776162913
XIII	15	0.9960386443120146
XIV	15	0.9964683367906234
XV	15	0.9954393466087413
XVI	15	0.9959749637683453
I	20	0.9888540426899721
II	20	0.9936963835983
III	20	0.9959792448871589
IV	20	0.9936302697311175
V	20	0.9914593712569653
VI	20	0.9905870943622507
VII	20	0.9937329275670522
VIII	20	0.994763997774788
IX	20	0.9918592914560069
X	20	0.9932430529761275
XI	20	0.9926261517420097
XII	20	0.9932701216961594
XIII	20	0.9938805600417987
XIV	20	0.9941759431261977
XV	20	0.9929835396791507
XVI	20	0.9939518978636508
I	25	0.9848100496051568
II	25	0.9909516173461357
III	25	0.9939657359015228
IV	25	0.9906066388020887
V	25	0.9873991008037217
VI	25	0.987103986141597
VII	25	0.9908161768749886
VIII	25	0.9922153123739209
IX	25	0.989158604008293
X	25	0.9899269327161478
XI	25	0.9891094394855552
XII	25	0.9903420310394304
XIII	25	0.9903519029543578
XIV	25	0.991355712433367
XV	25	0.9901786049733756
XVI	25	0.9910575845985407
I	30	0.9800493445343109
II	30	0.9871800232173776
III	30	0.9921839526778417
IV	30	0.9871495685516273
V	30	0.9828059090041141
VI	30	0.9837504302989699
VII	30	0.987849927585385
VIII	30	0.9900842985694304
IX	30	0.9842982759247808
X	30	0.9863546947975933
XI	30	0.9848743881370573
XII	30	0.9874603149575626
XIII	30	0.9869303387705518
XIV	30	0.9882945126623514
XV	30	0.9865287993761517
XVI	30	0.9881748739011841
I	35	0.9761790998097456
II	35	0.9828316838501495
III	35	0.9898009350447637
IV	35	0.9844340450920503
V	35	0.9771868002152516
VI	35	0.9803265460225569
VII	35	0.9847975140704347
VIII	35	0.987510730605375
IX	35	0.9805291346888299
X	35	0.983041256397913
XI	35	0.9812991889816681
XII	35	0.9842001823448283
XIII	35	0.9840096232168761
XIV	35	0.984963019533795
XV	35	0.98323087059272
XVI	35	0.9849303740456888
I	40	0.9717094232423181
II	40	0.9786050881473319
III	40	0.9875494374387415
IV	40	0.9800774576956042
V	40	0.9726578367212318
VI	40	0.9749704805652926
VII	40	0.9807028800850642
VIII	40	0.9843310944950884
IX	40	0.976321245407922
X	40	0.9793764942990355
XI	40	0.9771826110951147
XII	40	0.9802694733796028
XIII	40	0.9803900994233209
XIV	40	0.9815563032538476
XV	40	0.9787444412168707
XVI	40	0.9809992131349505
I	45	0.9668705314093599
II	45	0.9743600464347553
III	45	0.9856517913340828
IV	45	0.9756627737636046
V	45	0.9673355668581943
VI	45	0.9690702951203172
VII	45	0.9771545639540213
VIII	45	0.9809168513604541
IX	45	0.9714245444294911
X	45	0.9754650010526301
XI	45	0.9731215207793454
XII	45	0.9755355567777833
XIII	45	0.9767694938832644
XIV	45	0.9780004156397857
XV	45	0.9740197619150163
XVI	45	0.977132393736301
I	50	0.9622618561537325
II	50	0.9698665984574217
III	50	0.9844399282276424
IV	50	0.9707944146382381
V	50	0.9626069748468068
VI	50	0.964099185300617
VII	50	0.9735961647753314
VIII	50	0.9780855711348049
IX	50	0.9675053650020005
X	50	0.9716835780307368
XI	50	0.9683195964104041
XII	50	0.9718506330593214
XIII	50	0.9725485190349523
XIV	50	0.9740072137727215
XV	50	0.970463423596456
XVI	50	0.9729955509426559
I	55	0.9559243847136193
II	55	0.9659154631670077
III	55	0.9819880191518211
IV	55	0.9664809100659102
V	55	0.9583679066780079
VI	55	0.9589689111307702
VII	55	0.9700441820815077
VIII	55	0.9747904088382865
IX	55	0.9614947441166842
X	55	0.967342987136457
XI	55	0.962548889048853
XII	55	0.9671927707602741
XIII	55	0.9675010898596001
XIV	55	0.9706961201428475
XV	55	0.9663563614104762
XVI	55	0.9684251940265762
I	60	0.9501429080263055
II	60	0.9603287816779474
III	60	0.9796425786693305
IV	60	0.961886714366751
V	60	0.9525456975714757
VI	60	0.953176069084731
VII	60	0.9658459676975819
VIII	60	0.9709549394553918
IX	60	0.9559728840068381
X	60	0.9634502669121463
XI	60	0.9564662515596506
XII	60	0.9622510960630768
XIII	60	0.9607347654935847
XIV	60	0.9655018977908618
XV	60	0.9621530829082252
XVI	60	0.964525676482439
I	65	0.945212798304216
II	65	0.9559287934833937
III	65	0.9766896409190119
IV	65	0.9571985197786065
V	65	0.9477372541531411
VI	65	0.9485084819792642
VII	65	0.9619429116175042
VIII	65	0.9672563241700333
IX	65	0.9507897464809224
X	65	0.9586524188368504
XI	65	0.9510914555139649
XII	65	0.958406643807093
XIII	65	0.9562368635409241
XIV	65	0.9601062303893881
XV	65	0.9575979275921821
XVI	65	0.9601989734891875
I	70	0.9416943940091566
II	70	0.9504909098063907
III	70	0.9747982576727844
IV	70	0.9524443954141597
V	70	0.9433575780721093
VI	70	0.9399395175469443
VII	70	0.9565668139402717
VIII	70	0.9628023453593131
IX	70	0.9449018841159568
X	70	0.9530084438371521
XI	70	0.9455996856704099
XII	70	0.9528565346877182
XIII	70	0.9508984445567057
XIV	70	0.955448769846481
XV	70	0.9520650312336489
XVI	70	0.9536445774872213
I	75	0.9363038511324049
II	75	0.9443901995120415
III	75	0.9706679025373971
IV	75	0.9478351860035654
V	75	0.937901643897443
VI	75	0.9334322866735021
VII	75	0.9521412726639412
VIII	75	0.9586540666106217
IX	75	0.9384456952678863
X	75	0.9478029529963755
XI	75	0.9400044390056628
XII	75	0.947638467524349
XIII	75	0.9460057051310482
XIV	75	0.9502596473691659
XV	75	0.9462489840015175
XVI	75	0.9483706830537114
I	80	0.9329157581075329
II	80	0.9385440441523689
III	80	0.9670166560719978
IV	80	0.9438115113389424
V	80	0.932322460812054
VI	80	0.9268214138976388
VII	80	0.9483463801858948
VIII	80	0.9554637665446829
IX	80	0.9327897101080275
X	80	0.9428924667885126
XI	80	0.9341797437374029
XII	80	0.9429602004123627
XIII	80	0.9406034631032495
XIV	80	0.944570737174134
XV	80	0.941179758652825
XVI	80	0.9443361538120764
I	85	0.9282202086717807
II	85	0.9336546218322053
III	85	0.964927992785187
IV	85	0.9382838544505536
V	85	0.9275747738990053
