Colony	Total_length	Total_clust_mutations	Total_clusters
A3B1_CKD-A3B2_CKD-A3B3_CKD-A3B4_CKD	0	0	0
A6B1_CKD-A6B2_CKD-A6B3_CKD-A6B4_CKD	0	0	0
B2B1_CKD-B2B2_CKD-B2B3_CKD-B2B4_CKD	0	0	0
C1B1_mer-C1B2_CKD-C1B3_CKD-C1B4_CKD	0	0	0
C3B1_CKD-C3B2_CKD-C3B3_CKD-C3B4_CKD	0	0	0
C4B1_CKD-C4B2_CKD-C4B3_CKD-C4B4_CKD	0	0	0
C5B1_CKD-C5B2_CKD-C5B3_CKD-C5B4_CKD	0	0	0
C6B1_CKD-C6B2_CKD-C6B3_CKD-C6B4_CKD	0	0	0
D3B1_CKD-D3B2_CKD-D3B3_CKD-D3B4_CKD	0	0	0
D4B1_CKD-D4B2_CKD-D4B3_CKD-D4B4_CKD	0	0	0
JK2_21_T-JK2_22_A-JK2_23_A-JK2_24_A	0	0	0
JK2_25_T-JK2_26_G-JK2_27_A-JK2_28_T	0	0	0
JK2_29_G-JK2_30_A-JK2_31_G-JK2_32_G	0	0	0
JK2_33_A-JK2_34_G-JK2_35_C-JK2_36_A	0	0	0
JK2_37_C-JK2_38_G-JK2_39_G-JK2_40_G	0	0	0
JK7_11_T-JK7_12_T-JK7_13_T-JK7_14_T	0	0	0
JK7_15_T-JK7_16_T-JK7_17_C-JK7_18_C	0	0	0
JK7_19_C-JK7_20_C-JK7_21_C-JK7_22_C	0	0	0
JK7_1_AT-JK7_2_AT-JK7_3_AT-JK7_4_AT	0	0	0
JK7_23_C-JK7_24_C-JK7_25_G-JK7_26_G	0	0	0
JK7_27_G-JK7_28_G-JK7_29_G-JK7_30_G	0	0	0
JK7_31_G-JK7_32_G-JK7_33_A-JK7_34_A	0	0	0
JK7_35_A-JK7_36_A-JK7_37_A-JK7_38_A	0	0	0
JK7_39_A-JK7_40_A-JK7_41_G-JK7_42_G	0	0	0
JK7_43_G-JK7_44_G-JK7_45_G-JK7_46_G	0	0	0
JK7_47_G-JK7_48_G-JK7_49_C-JK7_50_C	0	0	0
JK7_51_C-JK7_52_C-JK7_53_C-JK7_54_C	0	0	0
JK7_55_C-JK7_56_C-JK7_57_T-JK7_58_T	0	0	0
JK7_59_T-JK7_60_T-JK7_61_T-JK7_62_T	0	0	0
JK7_5_AT-JK7_6_AT-JK7_7_AT-JK7_8_AT	0	0	0
JK7_63_T-JK7_64_T-JK7_65_C-JK7_66_C	0	0	0
JK7_67_C-JK7_68_C-JK7_69_C-JK7_70_C	0	0	0
JK7_71_C-JK7_72_C-JK7_73_T-JK7_74_T	0	0	0
JK7_75_T-JK7_76_T	0	0	0
JK7_77_T-JK7_78_T-JK7_79_T-JK7_80_T	0	0	0
JMT13_CK-JMT14_CK-JMT15_CK-JMT16_CK	0	0	0
JMT17_CK-JMT18_CK-JMT19_CK-JMT20_CK	0	0	0
JMT1_CKD-JMT2_CKD-JMT3_CKD-JMT4_CKD	0	0	0
JMT21_CK-JMT22_CK-JMT23_CK-JMT24_CK	0	0	0
JMT25_CK-JMT26_CK-JMT27_CK-JMT28_CK	0	0	0
JMT29_CK-JMT30_CK-JMT31_CK-JMT32_CK	0	0	0
JMT33_CK-JMT34_CK-JMT35_CK-JMT36_CK	0	0	0
JMT37_CK-JMT38_CK-JMT39_CK-JMT40_CK	0	0	0
JMT5_CKD-JMT6_CKD-JMT7_CKD-JMT8_CKD	0	0	0
JMT73_CK-JMT74_CK	0	0	0
JMT75_CK-JMT76_CK	0	0	0
JMT77_CK-JMT78_me	0	0	0
JMT79_me-JMT80_CK	0	0	0
JMT81_me-JMT82_CK	0	0	0
JMT83_CK-JMT84_CK	0	0	0
JMT85_me-JMT86_CK	0	0	0
JMT87_CK-JMT88_CK	0	0	0
JMT89_CK-JMT90_me	0	0	0
JMT91_CK-JMT92_CK	0	0	0
JMT93_CK-JMT94_CK	0	0	0
JMT9_CKD-JMT10_CK-JMT11_CK-JMT12_CK	0	0	0
Mal_JK46-Mal_JK47-Mal_JK48-Mal_JK49	0	0	0
Mal_JK50-Mal_JK51-Mal_JK52-Mal_JK53	0	0	0
Mal_JK54-Mal_JK55-Mal_JK56-Mal_JK57	0	0	0
SD10_Mer-C1T2_CKD-C1T3_CKD-C1T4_CKD	0	0	0
SD12_CKD-C3T2_CKD-C3T3_CKD-C3T4_CKD	0	0	0
SD13_CKD-C4T2_CKD-C4T3_CKD-C4T4_CKD	0	0	0
SD14_Mer-C5T2_CKD-C5T3_CKD-C5T4_CKD	0	0	0
SD15_Mer-C6T2_CKD-C6T3_CKD-C6T4_CKD	0	0	0
SD17_CKD-D3T2_CKD-D3T3_CKD-D3T4_CKD	0	0	0
SD18_Mer-D4T2_CKD-D4T3_CKD-D4T4_CKD	0	0	0
SD2_CKDN-A3T2_CKD-A3T3_CKD-A3T4_CKD	0	0	0
SD4_CKDN-A6T2_CKD-A6T3_CKD-A6T4_CKD	0	0	0
