gene_name,gene_id,feature_type,range,strand,repeat_mask,chromosome,start,end,feature_length
YAL002W,id001,three_prime_UTR,chrI:147531-147630,+,none,chrI,147531,147630,99
YAL003W,id001,three_prime_UTR,chrI:143160-143459,+,none,chrI,143160,143459,299
YAL004W,id001,three_prime_UTR,chrI:141407-142140,+,none,chrI,141407,142140,733
YAL005C,id002,three_prime_UTR,chrI:139381-139503,-,none,chrI,139381,139503,122
YAL007C,id001,three_prime_UTR,chrI:137413-137698,-,none,chrI,137413,137698,285
YAL008W,id001,three_prime_UTR,chrI:137510-137637,+,none,chrI,137510,137637,127
YAL009W,id001,three_prime_UTR,chrI:136633-136766,+,none,chrI,136633,136766,133
YAL010C,id004,three_prime_UTR,chrI:134075-134184,-,none,chrI,134075,134184,109
YAL011W,id001,three_prime_UTR,chrI:134076-134210,+,none,chrI,134076,134210,134
YAL012W,id001,three_prime_UTR,chrI:131983-132082,+,none,chrI,131983,132082,99
YAL013W,id001,three_prime_UTR,chrI:130487-130583,+,none,chrI,130487,130583,96
YAL014C,id005,three_prime_UTR,chrI:128061-128252,-,none,chrI,128061,128252,191
YAL015C,id001,three_prime_UTR,chrI:126756-126903,-,none,chrI,126756,126903,147
YAL016W,id002,three_prime_UTR,chrI:126786-126880,+,none,chrI,126786,126880,94
YAL018C,id001,three_prime_UTR,chrI:118426-118564,-,none,chrI,118426,118564,138
YAL019W,id001,three_prime_UTR,chrI:118314-118363,+,none,chrI,118314,118363,49
YAL020C,id002,three_prime_UTR,chrI:113537-113614,-,none,chrI,113537,113614,77
YAL021C,id001,three_prime_UTR,chrI:110536-110846,-,none,chrI,110536,110846,310
YAL022C,id001,three_prime_UTR,chrI:108732-108877,-,none,chrI,108732,108877,145
YAL023C,id006,three_prime_UTR,chrI:106143-106272,-,none,chrI,106143,106272,129
YAL025C,id002,three_prime_UTR,chrI:99945-100225,-,none,chrI,99945,100225,280
YAL027W,id002,three_prime_UTR,chrI:95472-95578,+,none,chrI,95472,95578,106
YAL028W,id001,three_prime_UTR,chrI:94486-94529,+,none,chrI,94486,94529,43
YAL030W,id002,three_prime_UTR,chrI:87752-88013,+,none,chrI,87752,88013,261
YAL031C,id001,three_prime_UTR,chrI:84587-84749,-,none,chrI,84587,84749,162
YAL032C,id001,three_prime_UTR,chrI:83198-83335,-,none,chrI,83198,83335,137
YAL033W,id003,three_prime_UTR,chrI:83227-83397,+,none,chrI,83227,83397,170
YAL034C,id001,three_prime_UTR,chrI:80563-80710,-,none,chrI,80563,80710,147
YAL034C-B,id001,three_prime_UTR,chrI:79446-79489,-,none,chrI,79446,79489,43
YAL034W-A,id001,three_prime_UTR,chrI:80587-80744,+,none,chrI,80587,80744,157
YAL035W,id002,three_prime_UTR,chrI:79435-79555,+,none,chrI,79435,79555,120
YAL036C,id004,three_prime_UTR,chrI:74778-75043,-,none,chrI,74778,75043,265
YAL037C-A,id001,three_prime_UTR,chrI:73371-73426,-,none,chrI,73371,73426,55
YAL037W,id001,three_prime_UTR,chrI:74823-76400,+,none,chrI,74823,76400,1577
YAL038W,id004,three_prime_UTR,chrI:73288-73448,+,none,chrI,73288,73448,160
YAL039C,id001,three_prime_UTR,chrI:68647-68716,-,none,chrI,68647,68716,69
YAL040C,id003,three_prime_UTR,chrI:65596-65778,-,none,chrI,65596,65778,182
YAL041W,id003,three_prime_UTR,chrI:65404-65463,+,none,chrI,65404,65463,59
YAL042W,id005,three_prime_UTR,chrI:62563-62654,+,none,chrI,62563,62654,91
YAL043C,id002,three_prime_UTR,chrI:58603-58695,-,none,chrI,58603,58695,92
YAL044C,id001,three_prime_UTR,chrI:57868-57950,-,none,chrI,57868,57950,82
YAL044W-A,id004,three_prime_UTR,chrI:57850-57958,+,none,chrI,57850,57958,108
YAL046C,id002,three_prime_UTR,chrI:56915-57029,-,none,chrI,56915,57029,114
YAL047C,id002,three_prime_UTR,chrI:54934-54989,-,none,chrI,54934,54989,55
YAL047W-A,id001,three_prime_UTR,chrI:54913-55063,+,none,chrI,54913,55063,150
YAL049C,id002,three_prime_UTR,chrI:51719-51855,-,none,chrI,51719,51855,136
YAL053W,id003,three_prime_UTR,chrI:48250-48310,+,none,chrI,48250,48310,60
YAL054C,id001,three_prime_UTR,chrI:42713-42881,-,none,chrI,42713,42881,168
YAL055W,id003,three_prime_UTR,chrI:42719-42838,+,none,chrI,42719,42838,119
YAL056W,id001,three_prime_UTR,chrI:41901-42040,+,none,chrI,41901,42040,139
YAL058W,id003,three_prime_UTR,chrI:38972-39163,+,none,chrI,38972,39163,191
YAL059W,id001,three_prime_UTR,chrI:37147-37344,+,none,chrI,37147,37344,197
YAL060W,id001,three_prime_UTR,chrI:36303-36415,+,none,chrI,36303,36415,112
YAL061W,id003,three_prime_UTR,chrI:34701-35018,+,none,chrI,34701,35018,317
YAL062W,id003,three_prime_UTR,chrI:32940-33028,+,none,chrI,32940,33028,88
YAL063C-A,id006,three_prime_UTR,chrI:22363-22395,-,none,chrI,22363,22395,32
YAL064W-B,id001,three_prime_UTR,chrI:12426-15151,+,none,chrI,12426,15151,2725
YAL066W,id001,three_prime_UTR,chrI:10399-10460,+,none,chrI,10399,10460,61
YAL067C,id001,three_prime_UTR,chrI:7013-7235,-,none,chrI,7013,7235,222
YAR002C-A,id004,three_prime_UTR,chrI:153808-154065,-,none,chrI,153808,154065,257
YAR002W,id002,three_prime_UTR,chrI:153876-154085,+,none,chrI,153876,154085,209
YAR003W,id002,three_prime_UTR,chrI:156285-156801,+,none,chrI,156285,156801,516
YAR007C,id002,three_prime_UTR,chrI:156681-156754,-,none,chrI,156681,156754,73
YAR008W,id002,three_prime_UTR,chrI:159793-159916,+,none,chrI,159793,159916,123
YAR014C,id001,three_prime_UTR,chrI:166565-166742,-,none,chrI,166565,166742,177
YAR015W,id003,three_prime_UTR,chrI:170295-170638,+,none,chrI,170295,170638,343
YAR018C,id001,three_prime_UTR,chrI:170180-170396,-,none,chrI,170180,170396,216
YAR019C,id001,three_prime_UTR,chrI:172126-172211,-,none,chrI,172126,172211,85
