feature_name,feature_length,feature_count,feature_mut_rate,feature_A3A_rate,feature_G_count,feature_C_count,feature_A_count,feature_T_count,feature_direction,feature_tct_count,feature_tca_count,feature_tcg_count,feature_aga_count,feature_tga_count,feature_cga_count,feature_A3A_motifs_top,feature_A3A_motifs_bottom,feature_chromosome,feature_start,feature_end
YAR028W,201,21,0.1044776119402985,0.01990049751243781,1,3,10,7,+,12,21,9,11,22,10,42,43,ref|NC_001133|,184732,184932
YEL035C,201,19,0.0945273631840796,0.0945273631840796,3,16,0,0,-,4,10,8,6,3,14,22,23,ref|NC_001137|,85645,85445
YAL038W,201,16,0.07960199004975124,0.07960199004975124,1,15,0,0,+,27,28,15,38,42,17,70,97,ref|NC_001133|,71544,71744
YGR287C,201,16,0.07960199004975124,0.03980099502487562,8,0,1,7,-,24,33,13,54,44,30,70,128,ref|NC_001139|,1069120,1068920
YOL052C-A,201,14,0.06965174129353234,0.06965174129353234,10,4,0,0,-,3,5,4,0,2,1,12,3,ref|NC_001147|,231855,231655
YOR374W,201,12,0.05970149253731343,0.05970149253731343,0,12,0,0,+,29,28,8,29,34,18,65,81,ref|NC_001147|,1039673,1039873
YEL009C,201,11,0.05472636815920398,0.05472636815920398,7,4,0,0,-,17,16,8,21,25,12,41,58,ref|NC_001137|,139784,139584
YEL008W,201,11,0.05472636815920398,0.05472636815920398,7,4,0,0,+,6,7,4,7,2,5,17,14,ref|NC_001137|,139495,139695
YCR048W,201,11,0.05472636815920398,0.03482587064676617,4,3,4,0,+,26,29,30,35,29,19,85,83,ref|NC_001135|,211775,211975
YKR039W,201,11,0.05472636815920398,0.05472636815920398,5,6,0,0,+,44,38,16,38,28,5,98,71,ref|NC_001143|,514860,515060
YOR052C,201,10,0.04975124378109453,0.04975124378109453,6,4,0,0,-,4,7,7,17,9,9,18,35,ref|NC_001147|,427537,427337
YGL055W,201,10,0.04975124378109453,0.04975124378109453,1,9,0,0,+,36,22,14,31,36,15,72,82,ref|NC_001139|,398436,398636
YDL218W,201,10,0.04975124378109453,0.04975124378109453,7,3,0,0,+,17,17,8,12,18,9,42,39,ref|NC_001136|,66393,66593
YHR211W,201,10,0.04975124378109453,0.03482587064676617,6,1,1,2,+,78,83,12,39,72,33,173,144,ref|NC_001140|,525292,525492
YNL336W,201,9,0.04477611940298507,0.04477611940298507,0,9,0,0,+,26,15,9,24,25,8,50,57,ref|NC_001146|,8230,8430
YBL029C-A,201,9,0.04477611940298507,0.04477611940298507,9,0,0,0,-,3,8,2,5,3,6,13,14,ref|NC_001134|,164872,164672
YOL126C,201,9,0.04477611940298507,0.04477611940298507,8,1,0,0,-,20,21,16,23,20,11,57,54,ref|NC_001147|,83197,82997
YNL251C,201,9,0.04477611940298507,0.04477611940298507,8,1,0,0,-,28,39,14,30,29,18,81,77,ref|NC_001146|,174687,174487
YER098W,201,9,0.04477611940298507,0.04477611940298507,5,4,0,0,+,21,48,14,65,55,22,83,142,ref|NC_001137|,354378,354578
YCR049C,201,9,0.04477611940298507,0.04477611940298507,9,0,0,0,-,10,7,6,3,5,10,23,18,ref|NC_001135|,215140,214940
YDR134C,201,9,0.04477611940298507,0.04477611940298507,7,2,0,0,-,8,6,2,3,6,1,16,10,ref|NC_001136|,721581,721381
YBR249C,201,9,0.04477611940298507,0.04477611940298507,9,0,0,0,-,17,27,7,29,25,8,51,62,ref|NC_001134|,718207,718007
YOR136W,201,9,0.04477611940298507,0.04477611940298507,0,9,0,0,+,27,21,10,24,28,10,58,62,ref|NC_001147|,580032,580232
YBR072W,201,9,0.04477611940298507,0.04477611940298507,1,8,0,0,+,9,13,5,21,19,3,27,43,ref|NC_001134|,381748,381948
YDR525W,201,9,0.04477611940298507,0.04477611940298507,7,2,0,0,+,8,5,3,6,5,5,16,16,ref|NC_001136|,1489805,1490005
YBR054W,201,9,0.04477611940298507,0.04477611940298507,2,7,0,0,+,20,20,4,26,20,4,44,50,ref|NC_001134|,342681,342881
YMR241W,201,8,0.03980099502487562,0.03980099502487562,4,4,0,0,+,17,18,8,23,13,5,43,41,ref|NC_001145|,751648,751848
YKL152C,201,8,0.03980099502487562,0.03980099502487562,7,1,0,0,-,12,10,5,23,21,7,27,51,ref|NC_001143|,164509,164309
YHL033C,201,8,0.03980099502487562,0.03980099502487562,7,1,0,0,-,7,14,6,30,14,8,27,52,ref|NC_001140|,36137,35937
YCL048W-A,201,8,0.03980099502487562,0.03980099502487562,0,8,0,0,+,4,3,4,0,2,3,11,5,ref|NC_001135|,41388,41588
YJL026W,201,8,0.03980099502487562,0.03980099502487562,3,5,0,0,+,20,19,11,32,34,18,50,84,ref|NC_001142|,392110,392310
YOR187W,201,8,0.03980099502487562,0.03980099502487562,5,3,0,0,+,20,20,9,30,33,8,49,71,ref|NC_001147|,683814,684014
YDR099W,201,8,0.03980099502487562,0.03980099502487562,2,6,0,0,+,22,15,10,17,27,8,47,52,ref|NC_001136|,652567,652767
YPL223C,201,8,0.03980099502487562,0.03980099502487562,6,2,0,0,-,8,10,3,8,13,13,21,34,ref|NC_001148|,129238,129038
YHR139C,201,8,0.03980099502487562,0.03980099502487562,7,1,0,0,-,21,33,8,11,11,6,62,28,ref|NC_001140|,379299,379099
YIL032C,201,8,0.03980099502487562,0.03980099502487562,1,7,0,0,-,8,6,3,6,5,7,17,18,ref|NC_001141|,292417,292217
YOR065W,201,8,0.03980099502487562,0.03980099502487562,2,6,0,0,+,19,12,6,17,25,13,37,55,ref|NC_001147|,446984,447184
YDL133W,201,8,0.03980099502487562,0.03980099502487562,5,3,0,0,+,19,34,12,33,19,13,65,65,ref|NC_001136|,221843,222043
YLR055C,201,8,0.03980099502487562,0.03980099502487562,0,8,0,0,-,25,18,15,42,54,39,58,135,ref|NC_001144|,253180,252980
YER136W,201,8,0.03980099502487562,0.03980099502487562,2,6,0,0,+,18,21,9,36,27,17,48,80,ref|NC_001137|,438556,438756
YBR196C,201,8,0.03980099502487562,0.03980099502487562,8,0,0,0,-,38,39,18,24,43,14,95,81,ref|NC_001134|,614094,613894
YMR297W,201,8,0.03980099502487562,0.03980099502487562,5,3,0,0,+,27,28,17,21,32,19,72,72,ref|NC_001145|,861779,861979
YKL065W-A,201,7,0.03482587064676617,0.03482587064676617,2,5,0,0,+,5,1,1,7,7,1,7,15,ref|NC_001143|,315854,316054
YGR130C,201,7,0.03482587064676617,0.03482587064676617,5,2,0,0,-,25,57,24,72,69,25,106,166,ref|NC_001139|,754082,753882
YBR118W,201,7,0.03482587064676617,0.03482587064676617,1,6,0,0,+,17,33,19,34,30,12,69,76,ref|NC_001134|,477364,477564
YHR195W,201,7,0.03482587064676617,0.03482587064676617,4,3,0,0,+,13,12,9,26,23,12,34,61,ref|NC_001140|,490473,490673
YDL145C,201,7,0.03482587064676617,0.03482587064676617,3,4,0,0,-,44,67,25,82,89,23,136,194,ref|NC_001136|,198581,198381
YIL134C-A,201,7,0.03482587064676617,0.03482587064676617,1,6,0,0,-,2,3,2,2,2,1,7,5,ref|NC_001141|,96825,96625
YDR524C-A,201,7,0.03482587064676617,0.03482587064676617,6,1,0,0,-,5,2,2,1,1,1,9,3,ref|NC_001136|,1490090,1489890
YGR211W,201,7,0.03482587064676617,0.03482587064676617,1,6,0,0,+,18,29,16,48,36,26,63,110,ref|NC_001139|,915017,915217
YGR209C,201,7,0.03482587064676617,0.03482587064676617,1,6,0,0,-,7,5,3,3,9,2,15,14,ref|NC_001139|,913418,913218
YCR051W,201,7,0.03482587064676617,0.03482587064676617,5,2,0,0,+,1,8,6,17,14,11,15,42,ref|NC_001135|,216685,216885
YGR095C,201,7,0.03482587064676617,0.03482587064676617,3,4,0,0,-,10,15,8,21,14,5,33,40,ref|NC_001139|,677215,677015
YBL041W,201,7,0.03482587064676617,0.03482587064676617,2,5,0,0,+,9,21,8,15,13,10,38,38,ref|NC_001134|,140910,141110
YNL118C,201,7,0.03482587064676617,0.03482587064676617,4,3,0,0,-,39,74,18,80,70,33,131,183,ref|NC_001146|,405717,405517
YKR041W,201,7,0.03482587064676617,0.0,0,0,0,7,+,1,9,7,22,21,22,17,65,ref|NC_001143|,518079,518279
YFR053C,201,7,0.03482587064676617,0.03482587064676617,4,3,0,0,-,15,18,13,36,40,22,46,98,ref|NC_001138|,255260,255060
YPL004C,201,7,0.03482587064676617,0.03482587064676617,5,2,0,0,-,17,24,10,29,34,12,51,75,ref|NC_001148|,551806,551606
YOR054C,201,7,0.03482587064676617,0.03482587064676617,4,3,0,0,-,36,31,15,52,49,49,82,150,ref|NC_001147|,430108,429908
YLL024C,201,7,0.03482587064676617,0.03482587064676617,4,3,0,0,-,33,29,22,57,58,23,84,138,ref|NC_001144|,97637,97437
YPL131W,201,7,0.03482587064676617,0.03482587064676617,4,3,0,0,+,16,15,7,32,22,10,38,64,ref|NC_001148|,303002,303202
YJL159W,201,7,0.03482587064676617,0.03482587064676617,3,4,0,0,+,26,31,8,18,19,6,65,43,ref|NC_001142|,120162,120362
YGR142W,201,7,0.03482587064676617,0.03482587064676617,2,5,0,0,+,21,12,2,49,40,10,35,99,ref|NC_001139|,772177,772377
YCR012W,201,7,0.03482587064676617,0.03482587064676617,1,6,0,0,+,27,29,18,28,20,15,74,63,ref|NC_001135|,137524,137724
YJR155W,201,7,0.03482587064676617,0.03482587064676617,1,6,0,0,+,15,12,6,21,16,5,33,42,ref|NC_001142|,726926,727126
YGR254W,201,7,0.03482587064676617,0.03482587064676617,1,6,0,0,+,22,20,15,32,40,16,57,88,ref|NC_001139|,1000790,1000990
YDR186C,201,6,0.029850746268656716,0.029850746268656716,5,1,0,0,-,44,53,26,64,64,41,123,169,ref|NC_001136|,835592,835392
YIR022W,201,6,0.029850746268656716,0.029850746268656716,3,3,0,0,+,6,6,3,7,12,5,15,24,ref|NC_001141|,398625,398825
YKL096C-B,201,6,0.029850746268656716,0.029850746268656716,0,6,0,0,-,2,1,1,7,7,1,4,15,ref|NC_001143|,259322,259122
YBL039W-B,201,6,0.029850746268656716,0.029850746268656716,4,2,0,0,+,2,5,2,4,3,4,9,11,ref|NC_001134|,143293,143493
YKL096W-A,201,6,0.029850746268656716,0.029850746268656716,0,6,0,0,+,6,4,4,0,4,2,14,6,ref|NC_001143|,259153,259353
YER145C,201,6,0.029850746268656716,0.029850746268656716,2,4,0,0,-,20,21,20,31,25,10,61,66,ref|NC_001137|,461053,460853
YPL250C,201,6,0.029850746268656716,0.029850746268656716,6,0,0,0,-,11,4,10,9,5,10,25,24,ref|NC_001148|,74886,74686
YNL036W,201,6,0.029850746268656716,0.029850746268656716,3,3,0,0,+,11,14,3,10,11,6,28,27,ref|NC_001146|,559566,559766
YOR285W,201,6,0.029850746268656716,0.029850746268656716,2,4,0,0,+,5,10,4,12,13,2,19,27,ref|NC_001147|,849515,849715
YNL007C,201,6,0.029850746268656716,0.029850746268656716,4,2,0,0,-,15,24,3,26,18,3,42,47,ref|NC_001146|,619792,619592
YMR112C,201,6,0.029850746268656716,0.029850746268656716,2,4,0,0,-,3,11,3,13,6,8,17,27,ref|NC_001145|,494739,494539
YNL238W,201,6,0.029850746268656716,0.029850746268656716,5,1,0,0,+,35,48,13,53,60,27,96,140,ref|NC_001146|,202014,202214
YBR219C,201,6,0.029850746268656716,0.029850746268656716,6,0,0,0,-,11,19,5,10,11,10,35,31,ref|NC_001134|,663403,663203
YDL133C-A,201,6,0.029850746268656716,0.029850746268656716,5,1,0,0,-,0,0,0,10,2,0,0,12,ref|NC_001136|,221901,221701
YDR435C,201,6,0.029850746268656716,0.029850746268656716,3,3,0,0,-,12,22,8,21,24,13,42,58,ref|NC_001136|,1334282,1334082
YGR178C,201,6,0.029850746268656716,0.029850746268656716,3,3,0,0,-,31,36,15,62,54,19,82,135,ref|NC_001139|,853548,853348
YGL200C,201,6,0.029850746268656716,0.029850746268656716,1,5,0,0,-,13,10,9,14,12,8,32,34,ref|NC_001139|,123482,123282
YGR161C,201,6,0.029850746268656716,0.029850746268656716,6,0,0,0,-,19,14,12,24,13,11,45,48,ref|NC_001139|,809618,809418
YDR419W,201,6,0.029850746268656716,0.029850746268656716,3,3,0,0,+,30,34,17,45,38,20,81,103,ref|NC_001136|,1303069,1303269
YMR120C,201,6,0.029850746268656716,0.029850746268656716,3,3,0,0,-,27,33,20,49,34,16,80,99,ref|NC_001145|,509490,509290
YOL040C,201,6,0.029850746268656716,0.029850746268656716,6,0,0,0,-,4,10,5,19,11,1,19,31,ref|NC_001147|,253729,253529
YFL039C,201,6,0.029850746268656716,0.029850746268656716,5,1,0,0,-,35,26,14,29,35,14,75,78,ref|NC_001138|,55003,54803
YFL033C,201,6,0.029850746268656716,0.024875621890547265,2,3,1,0,-,87,135,51,121,106,80,273,307,ref|NC_001138|,74527,74327
YMR244W,201,6,0.029850746268656716,0.029850746268656716,3,3,0,0,+,11,20,9,16,18,9,40,43,ref|NC_001145|,757150,757350
YHL030W,201,6,0.029850746268656716,0.029850746268656716,5,1,0,0,+,102,128,43,115,143,60,273,318,ref|NC_001140|,39984,40184
YOR018W,201,6,0.029850746268656716,0.029850746268656716,1,5,0,0,+,43,74,21,50,47,29,138,126,ref|NC_001147|,364269,364469
YMR278W,201,6,0.029850746268656716,0.024875621890547265,4,1,0,1,+,25,29,15,42,39,16,69,97,ref|NC_001145|,822623,822823
YLR109W,201,6,0.029850746268656716,0.029850746268656716,1,5,0,0,+,5,8,6,5,13,5,19,23,ref|NC_001144|,368644,368844
YGL260W,201,6,0.029850746268656716,0.029850746268656716,4,2,0,0,+,4,4,4,6,2,3,12,11,ref|NC_001139|,6760,6960
YEL039C,201,6,0.029850746268656716,0.029850746268656716,5,1,0,0,-,2,7,0,10,4,4,9,18,ref|NC_001137|,80270,80070
YLR317W,201,6,0.029850746268656716,0.029850746268656716,3,3,0,0,+,7,19,11,3,3,6,37,12,ref|NC_001144|,765083,765283
YOR034C,201,6,0.029850746268656716,0.029850746268656716,6,0,0,0,-,42,43,12,33,55,22,97,110,ref|NC_001147|,397424,397224
YFR033C,201,6,0.029850746268656716,0.029850746268656716,2,4,0,0,-,2,4,0,23,17,8,6,48,ref|NC_001138|,225625,225425
YDL075W,201,6,0.029850746268656716,0.029850746268656716,1,5,0,0,+,11,14,6,35,16,4,31,55,ref|NC_001136|,321971,322171
YGL262W,201,6,0.029850746268656716,0.014925373134328358,2,1,2,1,+,6,8,4,7,14,4,18,25,ref|NC_001139|,5212,5412
YOR183W,201,6,0.029850746268656716,0.029850746268656716,2,4,0,0,+,5,5,2,6,6,4,12,16,ref|NC_001147|,678772,678972
YDL087C,201,6,0.029850746268656716,0.029850746268656716,4,2,0,0,-,10,14,9,27,11,11,33,49,ref|NC_001136|,301112,300912
YML127W,201,6,0.029850746268656716,0.029850746268656716,4,2,0,0,+,29,33,21,30,34,18,83,82,ref|NC_001145|,16884,17084
YLR249W,201,6,0.029850746268656716,0.029850746268656716,0,6,0,0,+,68,45,26,103,88,37,139,228,ref|NC_001144|,636614,636814
YDL055C,201,6,0.029850746268656716,0.029850746268656716,6,0,0,0,-,18,17,13,20,27,12,48,59,ref|NC_001136|,357008,356808
YPL230W,201,6,0.029850746268656716,0.029850746268656716,2,4,0,0,+,24,27,12,15,21,14,63,50,ref|NC_001148|,114969,115169
YLR058C,201,6,0.029850746268656716,0.029850746268656716,5,1,0,0,-,25,25,13,32,35,15,63,82,ref|NC_001144|,259615,259415
YBR078W,201,6,0.029850746268656716,0.029850746268656716,2,4,0,0,+,66,31,15,19,33,12,112,64,ref|NC_001134|,392847,393047
YGR197C,201,6,0.029850746268656716,0.029850746268656716,2,4,0,0,-,30,31,19,23,34,17,80,74,ref|NC_001139|,894446,894246
YMR175W,201,6,0.029850746268656716,0.029850746268656716,1,5,0,0,+,2,4,1,6,11,5,7,22,ref|NC_001145|,610916,611116
YOR349W,201,6,0.029850746268656716,0.029850746268656716,1,5,0,0,+,64,88,37,61,47,46,189,154,ref|NC_001147|,989689,989889
YDL020C,201,6,0.029850746268656716,0.029850746268656716,3,3,0,0,-,26,36,13,45,38,25,75,108,ref|NC_001136|,417052,416852
YLR297W,201,6,0.029850746268656716,0.029850746268656716,2,4,0,0,+,5,7,7,7,13,5,19,25,ref|NC_001144|,723734,723934
YPL198W,201,6,0.029850746268656716,0.029850746268656716,2,4,0,0,+,30,35,17,31,37,13,82,81,ref|NC_001148|,173015,173215
YGL227W,201,6,0.029850746268656716,0.029850746268656716,5,1,0,0,+,50,50,11,76,96,40,111,212,ref|NC_001139|,69529,69729
YDL192W,201,5,0.024875621890547265,0.024875621890547265,4,1,0,0,+,9,7,4,16,14,3,20,33,ref|NC_001136|,116175,116375
YOR125C,201,5,0.024875621890547265,0.024875621890547265,5,0,0,0,-,6,19,5,18,9,7,30,34,ref|NC_001147|,559880,559680
YEL024W,201,5,0.024875621890547265,0.024875621890547265,1,4,0,0,+,9,17,2,12,14,4,28,30,ref|NC_001137|,107059,107259
YPR076W,201,5,0.024875621890547265,0.024875621890547265,3,2,0,0,+,3,6,6,7,12,3,15,22,ref|NC_001148|,696376,696576
YDR516C,201,5,0.024875621890547265,0.024875621890547265,4,1,0,0,-,22,24,14,30,45,16,60,91,ref|NC_001136|,1476688,1476488
YOL029C,201,5,0.024875621890547265,0.024875621890547265,0,5,0,0,-,8,18,4,19,6,10,30,35,ref|NC_001147|,271122,270922
YDL022W,201,5,0.024875621890547265,0.024875621890547265,2,3,0,0,+,23,25,13,28,26,12,61,66,ref|NC_001136|,411582,411782
YJL028W,201,5,0.024875621890547265,0.024875621890547265,1,4,0,0,+,9,5,5,4,0,5,19,9,ref|NC_001142|,391211,391411
YDL051W,201,5,0.024875621890547265,0.024875621890547265,0,5,0,0,+,10,13,4,29,26,8,27,63,ref|NC_001136|,363746,363946
YLR259C,201,5,0.024875621890547265,0.024875621890547265,4,1,0,0,-,22,30,18,41,56,12,70,109,ref|NC_001144|,665148,664948
YOR223W,201,5,0.024875621890547265,0.024875621890547265,5,0,0,0,+,9,8,11,21,22,9,28,52,ref|NC_001147|,759546,759746
YJL212C,201,5,0.024875621890547265,0.024875621890547265,3,2,0,0,-,44,46,35,34,39,18,125,91,ref|NC_001142|,36381,36181
YBR101C,201,5,0.024875621890547265,0.024875621890547265,5,0,0,0,-,15,9,8,20,29,14,32,63,ref|NC_001134|,444843,444643
YBL059W,201,5,0.024875621890547265,0.024875621890547265,3,2,0,0,+,8,12,3,13,9,7,23,29,ref|NC_001134|,110494,110694
YBR077C,201,5,0.024875621890547265,0.024875621890547265,2,3,0,0,-,4,5,6,8,15,8,15,31,ref|NC_001134|,392934,392734
YGL106W,201,5,0.024875621890547265,0.024875621890547265,2,3,0,0,+,2,7,6,14,12,7,15,33,ref|NC_001139|,306435,306635
YBL059C-A,201,5,0.024875621890547265,0.024875621890547265,3,2,0,0,-,5,8,2,15,8,6,15,29,ref|NC_001134|,110639,110439
YJL034W,201,5,0.024875621890547265,0.024875621890547265,2,3,0,0,+,32,24,19,62,70,21,75,153,ref|NC_001142|,381189,381389
YNL037C,201,5,0.024875621890547265,0.024875621890547265,4,1,0,0,-,14,24,9,27,30,6,47,63,ref|NC_001146|,559215,559015
YER053C-A,201,5,0.024875621890547265,0.024875621890547265,5,0,0,0,-,1,3,2,5,3,1,6,9,ref|NC_001137|,260341,260141
YDR517W,201,5,0.024875621890547265,0.024875621890547265,4,1,0,0,+,18,26,11,25,20,13,55,58,ref|NC_001136|,1476523,1476723
YER088W-B,201,5,0.024875621890547265,0.024875621890547265,3,2,0,0,+,1,4,1,3,2,0,6,5,ref|NC_001137|,335022,335222
YDL126C,201,5,0.024875621890547265,0.024875621890547265,2,3,0,0,-,30,41,29,76,74,22,100,172,ref|NC_001136|,238829,238629
YDL128W,201,5,0.024875621890547265,0.024875621890547265,1,4,0,0,+,29,24,8,15,25,8,61,48,ref|NC_001136|,232420,232620
YMR195W,201,5,0.024875621890547265,0.024875621890547265,2,3,0,0,+,6,7,8,7,7,6,21,20,ref|NC_001145|,653842,654042
