Chromosome	Start	End	Length	Mutations	P_value	Per_site_mutation_probability	Cluster_P_value_Threshold	sample	all_mutations	Dataset_Cluster_ID
ref|NC_001136|	211020	222357	11337	6	2.6125496754526264e-07	2.186653215436281e-05	1e-06	JMT49_CK	264	1
ref|NC_001137|	351002	352311	1309	6	7.57335273704421e-13	2.186653215436281e-05	1e-06	JMT49_CK	264	2
ref|NC_001139|	609392	609895	503	3	2.2257650298355614e-07	2.186653215436281e-05	1e-06	JMT49_CK	264	3
ref|NC_001140|	236503	236556	53	3	2.895712803774715e-10	2.186653215436281e-05	1e-06	JMT49_CK	264	4
ref|NC_001142|	359640	361581	1941	4	1.3137430703486152e-07	2.186653215436281e-05	1e-06	JMT49_CK	264	5
ref|NC_001144|	532437	539268	6831	5	5.484419482030355e-07	2.186653215436281e-05	1e-06	JMT49_CK	264	6
ref|NC_001144|	740395	744597	4202	5	5.073770512548395e-08	2.186653215436281e-05	1e-06	JMT49_CK	264	7
ref|NC_001136|	1497148	1498054	906	4	2.3305749891012698e-09	1.697969352895597e-05	1e-06	JMT50_CK	205	8
ref|NC_001139|	385163	387491	2328	4	9.898734177115811e-08	1.697969352895597e-05	1e-06	JMT50_CK	205	9
ref|NC_001145|	881382	882649	1267	4	8.842324501716319e-09	1.697969352895597e-05	1e-06	JMT50_CK	205	10
ref|NC_001135|	207053	207895	842	3	3.9279521159475135e-07	1.5820104702588245e-05	1e-06	JMT52_CK	191	11
ref|NC_001141|	52737	55437	2700	4	1.345423055010574e-07	1.5820104702588245e-05	1e-06	JMT52_CK	191	12
ref|NC_001145|	216378	220090	3712	4	4.740722774341277e-07	1.5820104702588245e-05	1e-06	JMT52_CK	191	13
ref|NC_001139|	305854	306548	694	3	1.530030780524172e-07	1.3997893689724676e-05	1e-06	JMT53_CK	169	14
ref|NC_001137|	30478	34704	4226	4	1.4780443474139254e-07	1.035347166399754e-05	1e-06	JMT54_CK	125	15
ref|NC_001137|	85582	86843	1261	3	3.690331457063459e-07	1.035347166399754e-05	1e-06	JMT54_CK	125	16
ref|NC_001135|	73947	76141	2194	5	1.1545865116816782e-10	1.2258510450173089e-05	1e-06	JMT55_CK	148	17
ref|NC_001142|	637914	638987	1073	3	3.7766255720720106e-07	1.2258510450173089e-05	1e-06	JMT55_CK	148	18
ref|NC_001134|	249378	269792	20414	11	4.494135927863812e-13	1.8719076768507554e-05	1e-06	JMT56_CK	226	19
ref|NC_001136|	1270583	1271114	531	3	1.6430292496288342e-07	1.8719076768507554e-05	1e-06	JMT56_CK	226	20
ref|NC_001142|	76450	78412	1962	4	7.399149998877342e-08	1.8719076768507554e-05	1e-06	JMT56_CK	226	21
ref|NC_001148|	348668	351699	3031	4	4.1400754211989335e-07	1.8719076768507554e-05	1e-06	JMT56_CK	226	22
