Chromosome	Start	End	Length	Mutations	P_value	Per_site_mutation_probability	Cluster_P_value_Threshold	sample	all_mutations	Dataset_Cluster_ID
ref|NC_001134|	538587	541313	2726	3	3.383255256282657e-05	2.186653215436281e-05	0.001	JMT49_CK	264	1
ref|NC_001136|	211020	222357	11337	6	2.6125496754526264e-07	2.186653215436281e-05	0.001	JMT49_CK	264	2
ref|NC_001137|	351002	352311	1309	6	7.57335273704421e-13	2.186653215436281e-05	0.001	JMT49_CK	264	3
ref|NC_001139|	380056	384615	4559	3	0.0001534542145051373	2.186653215436281e-05	0.001	JMT49_CK	264	4
ref|NC_001139|	609392	609895	503	3	2.2257650298355614e-07	2.186653215436281e-05	0.001	JMT49_CK	264	5
ref|NC_001139|	797292	799686	2394	3	2.3047302090038333e-05	2.186653215436281e-05	0.001	JMT49_CK	264	6
ref|NC_001140|	236503	236556	53	3	2.895712803774715e-10	2.186653215436281e-05	0.001	JMT49_CK	264	7
ref|NC_001142|	359640	361581	1941	4	1.3137430703486152e-07	2.186653215436281e-05	0.001	JMT49_CK	264	8
ref|NC_001144|	228853	232831	3978	3	0.00010293581150195331	2.186653215436281e-05	0.001	JMT49_CK	264	9
ref|NC_001144|	532437	539268	6831	5	5.484419482030355e-07	2.186653215436281e-05	0.001	JMT49_CK	264	10
ref|NC_001144|	645443	648221	2778	3	3.577394293382493e-05	2.186653215436281e-05	0.001	JMT49_CK	264	11
ref|NC_001144|	740395	744597	4202	5	5.073770512548395e-08	2.186653215436281e-05	0.001	JMT49_CK	264	12
ref|NC_001146|	198815	201650	2835	3	3.7984437925844785e-05	2.186653215436281e-05	0.001	JMT49_CK	264	13
ref|NC_001147|	244443	254210	9767	4	7.31918089296052e-05	2.186653215436281e-05	0.001	JMT49_CK	264	14
ref|NC_001134|	27282	38900	11618	4	5.396301070557913e-05	1.697969352895597e-05	0.001	JMT50_CK	205	15
ref|NC_001136|	1497148	1498054	906	4	2.3305749891012698e-09	1.697969352895597e-05	0.001	JMT50_CK	205	16
