gene_name,gene_id,feature_type,range,strand,repeat_mask,chromosome,start,end,feature_length
YAL002W,id001,five_prime_UTR,chrI:143550-143707,+,none,chrI,143550,143707,157
YAL003W,id001,five_prime_UTR,chrI:142032-142174,+,none,chrI,142032,142174,142
YAL004W,id001,five_prime_UTR,chrI:137649-140760,+,none,chrI,137649,140760,3111
YAL005C,id002,five_prime_UTR,chrI:141431-141684,-,none,chrI,141431,141684,253
YAL007C,id001,five_prime_UTR,chrI:138345-138453,-,none,chrI,138345,138453,108
YAL008W,id001,five_prime_UTR,chrI:136431-136914,+,none,chrI,136431,136914,483
YAL009W,id001,five_prime_UTR,chrI:135408-135854,+,none,chrI,135408,135854,446
YAL010C,id004,five_prime_UTR,chrI:135665-135743,-,none,chrI,135665,135743,78
YAL011W,id001,five_prime_UTR,chrI:132169-132199,+,none,chrI,132169,132199,30
YAL012W,id001,five_prime_UTR,chrI:130436-130799,+,none,chrI,130436,130799,363
YAL013W,id001,five_prime_UTR,chrI:129194-129270,+,none,chrI,129194,129270,76
YAL014C,id005,five_prime_UTR,chrI:129019-129072,-,none,chrI,129019,129072,53
YAL015C,id001,five_prime_UTR,chrI:128102-128110,-,none,chrI,128102,128110,8
YAL016W,id001,five_prime_UTR,chrI:124786-124879,+,none,chrI,124786,124879,93
YAL018C,id001,five_prime_UTR,chrI:119541-119591,-,none,chrI,119541,119591,50
YAL019W,id001,five_prime_UTR,chrI:114788-114919,+,none,chrI,114788,114919,131
YAL020C,id002,five_prime_UTR,chrI:114615-114672,-,none,chrI,114615,114672,57
YAL021C,id001,five_prime_UTR,chrI:113359-113406,-,none,chrI,113359,113406,47
YAL022C,id001,five_prime_UTR,chrI:110430-110471,-,none,chrI,110430,110471,41
YAL023C,id001,five_prime_UTR,chrI:108551-108718,-,none,chrI,108551,108718,167
YAL025C,id002,five_prime_UTR,chrI:101145-101168,-,none,chrI,101145,101168,23
YAL027W,id001,five_prime_UTR,chrI:94595-94687,+,none,chrI,94595,94687,92
YAL028W,id001,five_prime_UTR,chrI:92409-92900,+,none,chrI,92409,92900,491
YAL030W,id001,five_prime_UTR,chrI:87264-87286,+,none,chrI,87264,87286,22
YAL031C,id001,five_prime_UTR,chrI:87031-87078,-,none,chrI,87031,87078,47
YAL032C,id001,five_prime_UTR,chrI:84474-84590,-,none,chrI,84474,84590,116
YAL033W,id001,five_prime_UTR,chrI:82685-82706,+,none,chrI,82685,82706,21
YAL034C,id001,five_prime_UTR,chrI:81951-82602,-,none,chrI,81951,82602,651
YAL034C-B,id001,five_prime_UTR,chrI:79842-79873,-,none,chrI,79842,79873,31
YAL034W-A,id001,five_prime_UTR,chrI:79674-79718,+,none,chrI,79674,79718,44
YAL035W,id002,five_prime_UTR,chrI:76364-76427,+,none,chrI,76364,76427,63
