Clustered_Proximal_,GC_Proximal_,CO_Proximal_,Random_Clustered_Proximal_,Chromosome_,Region_min,Region_max,Region_count,Sample_Name,Percent_Parental_SNPs,Cluster_ID_
False,False,False,False,ref|NC_001136|,211020,222357,6,JMT49_CK,99.82626321123497,1
True,True,False,False,ref|NC_001137|,351002,352311,6,JMT49_CK,99.82626321123497,2
False,False,False,False,ref|NC_001139|,609392,609895,3,JMT49_CK,99.82626321123497,3
False,False,False,False,ref|NC_001140|,236503,236556,3,JMT49_CK,99.82626321123497,4
False,False,False,False,ref|NC_001142|,359640,361581,4,JMT49_CK,99.82626321123497,5
True,True,False,False,ref|NC_001144|,532437,539268,5,JMT49_CK,99.82626321123497,6
True,False,True,False,ref|NC_001144|,740395,744597,5,JMT49_CK,99.82626321123497,7
True,False,True,False,ref|NC_001147|,244443,245972,3,JMT49_CK,99.82626321123497,8
True,True,True,False,ref|NC_001136|,1497148,1498054,4,JMT50_CK,99.7911021944611,9
True,False,True,False,ref|NC_001139|,385163,387491,4,JMT50_CK,99.7911021944611,10
True,False,True,False,ref|NC_001142|,301628,303127,3,JMT50_CK,99.7911021944611,11
True,True,True,False,ref|NC_001145|,881382,882649,4,JMT50_CK,99.7911021944611,12
False,False,False,False,ref|NC_001136|,135175,136983,3,JMT51_CK,99.80764855529587,13
False,False,False,False,ref|NC_001144|,584635,585781,3,JMT51_CK,99.80764855529587,14
False,False,False,False,ref|NC_001135|,207053,207895,3,JMT52_CK,99.83246809654801,15
False,False,False,False,ref|NC_001136|,261715,268253,4,JMT52_CK,99.83246809654801,16
False,False,False,False,ref|NC_001141|,52737,55437,4,JMT52_CK,99.83246809654801,17
False,False,False,False,ref|NC_001145|,216378,220090,4,JMT52_CK,99.83246809654801,18
False,False,False,False,ref|NC_001134|,60410,62042,3,JMT53_CK,99.80558026019153,19
True,False,True,False,ref|NC_001139|,305854,306548,3,JMT53_CK,99.80558026019153,20
True,False,True,False,ref|NC_001147|,837063,839152,3,JMT53_CK,99.80558026019153,21
True,False,True,False,ref|NC_001136|,1051869,1062375,4,JMT54_CK,99.80558026019153,22
False,False,False,False,ref|NC_001137|,30478,34704,4,JMT54_CK,99.80558026019153,23
True,True,False,False,ref|NC_001137|,85582,86843,3,JMT54_CK,99.80558026019153,24
False,False,False,False,ref|NC_001145|,333979,336041,3,JMT54_CK,99.80558026019153,25
False,False,False,False,ref|NC_001135|,73947,76141,5,JMT55_CK,99.8097168504002,26
True,False,True,False,ref|NC_001142|,637914,638987,3,JMT55_CK,99.8097168504002,27
True,True,True,False,ref|NC_001134|,249378,269792,11,JMT56_CK,99.658731307783,28
True,False,True,False,ref|NC_001135|,208896,221575,5,JMT56_CK,99.658731307783,29
True,False,True,False,ref|NC_001136|,1270583,1271114,3,JMT56_CK,99.658731307783,30
False,False,False,False,ref|NC_001139|,945490,950533,4,JMT56_CK,99.658731307783,31
False,False,False,False,ref|NC_001142|,76450,78412,4,JMT56_CK,99.658731307783,32
False,False,False,False,ref|NC_001148|,348668,351699,4,JMT56_CK,99.658731307783,33
