gene_name,gene_id,feature_type,range,strand,repeat_mask,chromosome,start,end,feature_length
YAL002W,id001,three_prime_UTR,chrI:147531-147630,+,none,chrI,147531,147630,99
YAL003W,id003,three_prime_UTR,chrI:143160-143496,+,none,chrI,143160,143496,336
YAL004W,id002,three_prime_UTR,chrI:141407-142152,+,none,chrI,141407,142152,745
YAL005C,id001,three_prime_UTR,chrI:139357-139503,-,none,chrI,139357,139503,146
YAL007C,id002,three_prime_UTR,chrI:137408-137698,-,none,chrI,137408,137698,290
YAL008W,id005,three_prime_UTR,chrI:137510-137718,+,none,chrI,137510,137718,208
YAL009W,id006,three_prime_UTR,chrI:136633-136780,+,none,chrI,136633,136780,147
YAL010C,id001,three_prime_UTR,chrI:134001-134184,-,none,chrI,134001,134184,183
YAL011W,id003,three_prime_UTR,chrI:134076-134210,+,none,chrI,134076,134210,134
YAL012W,id002,three_prime_UTR,chrI:131983-132100,+,none,chrI,131983,132100,117
YAL013W,id002,three_prime_UTR,chrI:130487-130593,+,none,chrI,130487,130593,106
YAL014C,id001,three_prime_UTR,chrI:128031-128252,-,none,chrI,128031,128252,221
YAL015C,id001,three_prime_UTR,chrI:126756-126903,-,none,chrI,126756,126903,147
YAL016W,id001,three_prime_UTR,chrI:126786-126883,+,none,chrI,126786,126883,97
YAL018C,id001,three_prime_UTR,chrI:118426-118564,-,none,chrI,118426,118564,138
YAL019W,id001,three_prime_UTR,chrI:118314-118363,+,none,chrI,118314,118363,49
YAL020C,id001,three_prime_UTR,chrI:113468-113614,-,none,chrI,113468,113614,146
YAL021C,id001,three_prime_UTR,chrI:110536-110846,-,none,chrI,110536,110846,310
YAL022C,id002,three_prime_UTR,chrI:108731-108877,-,none,chrI,108731,108877,146
YAL023C,id001,three_prime_UTR,chrI:106141-106272,-,none,chrI,106141,106272,131
YAL025C,id001,three_prime_UTR,chrI:99939-100225,-,none,chrI,99939,100225,286
YAL027W,id001,three_prime_UTR,chrI:95472-95583,+,none,chrI,95472,95583,111
YAL028W,id005,three_prime_UTR,chrI:94486-94566,+,none,chrI,94486,94566,80
YAL030W,id001,three_prime_UTR,chrI:87752-88061,+,none,chrI,87752,88061,309
YAL031C,id001,three_prime_UTR,chrI:84587-84749,-,none,chrI,84587,84749,162
YAL032C,id008,three_prime_UTR,chrI:83192-83335,-,none,chrI,83192,83335,143
YAL033W,id003,three_prime_UTR,chrI:83227-83397,+,none,chrI,83227,83397,170
YAL034C,id002,three_prime_UTR,chrI:80549-80710,-,none,chrI,80549,80710,161
YAL034C-B,id001,three_prime_UTR,chrI:79446-79489,-,none,chrI,79446,79489,43
YAL034W-A,id002,three_prime_UTR,chrI:80587-80747,+,none,chrI,80587,80747,160
YAL035W,id001,three_prime_UTR,chrI:79435-79559,+,none,chrI,79435,79559,124
YAL036C,id001,three_prime_UTR,chrI:74176-75043,-,none,chrI,74176,75043,867
YAL037C-A,id001,three_prime_UTR,chrI:73371-73426,-,none,chrI,73371,73426,55
YAL037W,id002,three_prime_UTR,chrI:74823-76400,+,none,chrI,74823,76400,1577
YAL038W,id001,three_prime_UTR,chrI:73288-73450,+,none,chrI,73288,73450,162
YAL039C,id002,three_prime_UTR,chrI:68629-68716,-,none,chrI,68629,68716,87
YAL040C,id001,three_prime_UTR,chrI:65456-65778,-,none,chrI,65456,65778,322
YAL041W,id001,three_prime_UTR,chrI:65404-65501,+,none,chrI,65404,65501,97
YAL042W,id001,three_prime_UTR,chrI:62563-62680,+,none,chrI,62563,62680,117
YAL043C,id001,three_prime_UTR,chrI:58499-58695,-,none,chrI,58499,58695,196
YAL044C,id002,three_prime_UTR,chrI:57756-57950,-,none,chrI,57756,57950,194
YAL044W-A,id001,three_prime_UTR,chrI:57850-57990,+,none,chrI,57850,57990,140
YAL046C,id001,three_prime_UTR,chrI:56907-57029,-,none,chrI,56907,57029,122
YAL047C,id001,three_prime_UTR,chrI:54931-54989,-,none,chrI,54931,54989,58
YAL047W-A,id002,three_prime_UTR,chrI:54913-55065,+,none,chrI,54913,55065,152
YAL049C,id001,three_prime_UTR,chrI:51691-51855,-,none,chrI,51691,51855,164
YAL053W,id001,three_prime_UTR,chrI:48250-48312,+,none,chrI,48250,48312,62
