Clustered_Proximal_,GC_Proximal_,CO_Proximal_,Random_Clustered_Proximal_,Chromosome_,Region_min,Region_max,Region_count,Sample_Name,Percent_Parental_SNPs,Cluster_ID_
True,True,False,False,ref|NC_001134|,538587,541313,3,JMT49_CK,99.82626321123497,1
False,False,False,False,ref|NC_001136|,211020,222357,6,JMT49_CK,99.82626321123497,2
True,True,False,False,ref|NC_001137|,351002,352311,6,JMT49_CK,99.82626321123497,3
False,False,False,False,ref|NC_001139|,380056,384615,3,JMT49_CK,99.82626321123497,4
False,False,False,False,ref|NC_001139|,609392,609895,3,JMT49_CK,99.82626321123497,5
True,False,True,False,ref|NC_001139|,797292,799686,3,JMT49_CK,99.82626321123497,6
False,False,False,False,ref|NC_001140|,236503,236556,3,JMT49_CK,99.82626321123497,7
False,False,False,False,ref|NC_001142|,359640,361581,4,JMT49_CK,99.82626321123497,8
True,False,True,False,ref|NC_001144|,228853,232831,3,JMT49_CK,99.82626321123497,9
True,True,False,False,ref|NC_001144|,532437,539268,5,JMT49_CK,99.82626321123497,10
True,False,True,False,ref|NC_001144|,645443,648221,3,JMT49_CK,99.82626321123497,11
True,False,True,False,ref|NC_001144|,740395,744597,5,JMT49_CK,99.82626321123497,12
True,True,False,True,ref|NC_001146|,198815,201650,3,JMT49_CK,99.82626321123497,13
True,False,True,False,ref|NC_001147|,244443,254210,4,JMT49_CK,99.82626321123497,14
False,False,False,False,ref|NC_001134|,27282,38900,4,JMT50_CK,99.7911021944611,15
False,False,False,True,ref|NC_001135|,50850,65849,3,JMT50_CK,99.7911021944611,16
True,True,True,False,ref|NC_001136|,1497148,1498054,4,JMT50_CK,99.7911021944611,17
False,False,False,True,ref|NC_001137|,354288,376901,4,JMT50_CK,99.7911021944611,18
True,False,True,False,ref|NC_001139|,385163,387491,4,JMT50_CK,99.7911021944611,19
True,False,True,False,ref|NC_001139|,875081,878829,3,JMT50_CK,99.7911021944611,20
True,False,True,False,ref|NC_001142|,301628,303127,3,JMT50_CK,99.7911021944611,21
True,False,True,False,ref|NC_001142|,579079,588507,3,JMT50_CK,99.7911021944611,22
True,True,False,False,ref|NC_001144|,505475,511030,3,JMT50_CK,99.7911021944611,23
False,False,False,True,ref|NC_001144|,923648,932673,3,JMT50_CK,99.7911021944611,24
True,True,True,False,ref|NC_001145|,881382,882649,4,JMT50_CK,99.7911021944611,25
True,True,False,True,ref|NC_001148|,293840,300181,3,JMT50_CK,99.7911021944611,26
False,False,False,False,ref|NC_001148|,644459,653529,3,JMT50_CK,99.7911021944611,27
False,False,False,False,ref|NC_001134|,476983,487114,3,JMT51_CK,99.80764855529587,28
False,False,False,False,ref|NC_001136|,135175,136983,3,JMT51_CK,99.80764855529587,29
True,False,True,False,ref|NC_001136|,221889,228918,3,JMT51_CK,99.80764855529587,30
False,False,False,False,ref|NC_001136|,742183,751273,3,JMT51_CK,99.80764855529587,31
False,False,False,False,ref|NC_001137|,191556,202084,3,JMT51_CK,99.80764855529587,32
False,False,False,False,ref|NC_001139|,774337,795602,4,JMT51_CK,99.80764855529587,33
False,False,False,True,ref|NC_001143|,142895,150569,3,JMT51_CK,99.80764855529587,34
True,True,True,False,ref|NC_001144|,116593,131115,3,JMT51_CK,99.80764855529587,35
False,False,False,False,ref|NC_001144|,584635,585781,3,JMT51_CK,99.80764855529587,36
True,True,False,False,ref|NC_001147|,487604,494812,3,JMT51_CK,99.80764855529587,37
False,False,False,False,ref|NC_001135|,207053,207895,3,JMT52_CK,99.83246809654801,38
False,False,False,False,ref|NC_001136|,261715,268253,4,JMT52_CK,99.83246809654801,39
True,True,False,False,ref|NC_001139|,159007,165657,3,JMT52_CK,99.83246809654801,40
False,False,False,False,ref|NC_001140|,333059,345472,3,JMT52_CK,99.83246809654801,41
False,False,False,False,ref|NC_001140|,451597,456232,3,JMT52_CK,99.83246809654801,42
False,False,False,False,ref|NC_001141|,52737,55437,4,JMT52_CK,99.83246809654801,43
False,False,False,False,ref|NC_001145|,216378,220090,4,JMT52_CK,99.83246809654801,44
True,False,True,False,ref|NC_001147|,212133,217570,3,JMT52_CK,99.83246809654801,45
False,False,False,False,ref|NC_001134|,60410,71334,4,JMT53_CK,99.80558026019153,46
True,False,True,False,ref|NC_001134|,340977,351423,3,JMT53_CK,99.80558026019153,47
False,False,False,True,ref|NC_001134|,749596,760133,3,JMT53_CK,99.80558026019153,48
True,False,True,False,ref|NC_001139|,305854,306548,3,JMT53_CK,99.80558026019153,49
False,False,False,False,ref|NC_001140|,57343,67457,3,JMT53_CK,99.80558026019153,50
False,False,False,False,ref|NC_001140|,323354,341339,4,JMT53_CK,99.80558026019153,51
False,False,False,False,ref|NC_001147|,229094,232840,3,JMT53_CK,99.80558026019153,52
True,False,True,False,ref|NC_001147|,837063,839152,3,JMT53_CK,99.80558026019153,53
True,False,True,False,ref|NC_001136|,1051869,1062375,4,JMT54_CK,99.80558026019153,54
False,False,False,False,ref|NC_001137|,30478,34704,4,JMT54_CK,99.80558026019153,55
True,True,False,False,ref|NC_001137|,85582,86843,3,JMT54_CK,99.80558026019153,56
False,False,False,False,ref|NC_001142|,237446,241806,3,JMT54_CK,99.80558026019153,57
False,False,False,True,ref|NC_001142|,651367,661559,3,JMT54_CK,99.80558026019153,58
False,False,False,False,ref|NC_001145|,333979,336041,3,JMT54_CK,99.80558026019153,59
True,True,False,False,ref|NC_001146|,148932,157924,3,JMT54_CK,99.80558026019153,60
False,False,False,False,ref|NC_001135|,73947,76141,5,JMT55_CK,99.8097168504002,61
True,False,True,False,ref|NC_001142|,637914,638987,3,JMT55_CK,99.8097168504002,62
False,False,False,False,ref|NC_001146|,283799,303920,4,JMT55_CK,99.8097168504002,63
True,True,True,False,ref|NC_001134|,249378,269792,11,JMT56_CK,99.658731307783,64
True,False,True,False,ref|NC_001135|,208896,221575,5,JMT56_CK,99.658731307783,65
True,False,True,False,ref|NC_001136|,1162732,1173250,3,JMT56_CK,99.658731307783,66
True,False,True,False,ref|NC_001136|,1270583,1271114,3,JMT56_CK,99.658731307783,67
False,False,False,False,ref|NC_001138|,152658,160630,4,JMT56_CK,99.658731307783,68
False,False,False,False,ref|NC_001139|,218223,222749,3,JMT56_CK,99.658731307783,69
True,False,True,False,ref|NC_001139|,611916,641502,6,JMT56_CK,99.658731307783,70
False,False,False,False,ref|NC_001139|,945490,950533,4,JMT56_CK,99.658731307783,71
True,True,False,False,ref|NC_001141|,255265,261231,3,JMT56_CK,99.658731307783,72
False,False,False,False,ref|NC_001142|,76450,78412,4,JMT56_CK,99.658731307783,73
False,False,False,False,ref|NC_001142|,579762,589765,3,JMT56_CK,99.658731307783,74
True,False,True,False,ref|NC_001144|,417004,424266,3,JMT56_CK,99.658731307783,75
False,False,False,True,ref|NC_001147|,678775,690316,3,JMT56_CK,99.658731307783,76
False,False,False,False,ref|NC_001148|,348668,351699,4,JMT56_CK,99.658731307783,77
True,True,False,True,ref|NC_001148|,646916,653800,4,JMT56_CK,99.658731307783,78
